
msd: manmade.concrete.pavingconcrete.solid.all.0092uuu_cnc.jhu.becknic.spectrum.txt is closest to: rock.sedimentary.dolomite.solid.all.ro368.usgs.perknic.spectrum.txt w/ score: 1.518
Actual closest compound, manmade.concrete.pavingconcrete.solid.all.0397uuucnc.jhu.becknic.spectrum.txt, was 1 spectrum from closest

msd: manmade.generalconstructionmaterial.brick.solid.all.0097uuubrk.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.shingle.solid.all.0672uuuasp.jhu.becknic.spectrum.txt w/ score: 1.006
Actual closest compound, manmade.generalconstructionmaterial.brick.solid.all.0412uuubrk.jhu.becknic.spectrum.txt, was 1 spectrum from closest

msd: manmade.generalconstructionmaterial.wood.solid.all.0410uuuwod.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.rubber.solid.all.0795uuurbr.jhu.becknic.spectrum.txt w/ score: 1.166
Actual closest compound, manmade.generalconstructionmaterial.wood.solid.all.0404uuuwod.jhu.becknic.spectrum.txt, was 5 spectrum from closest

msd: manmade.roofingmaterial.metal.solid.all.0384uuualm.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.roofingpaper.solid.all.0522uuutar.jhu.becknic.spectrum.txt w/ score: 1.287
Actual closest compound, manmade.roofingmaterial.metal.solid.all.0525uuustla.jhu.becknic.spectrum.txt, was 9 spectrum from closest

msd: manmade.roofingmaterial.metal.solid.all.0525uuustla.jhu.becknic.spectrum.txt is closest to: manmade.generalconstructionmaterial.paint.solid.all.0386uuupnt.jhu.becknic.spectrum.txt w/ score: 0.828
Actual closest compound, manmade.roofingmaterial.metal.solid.all.0384uuualm.jhu.becknic.spectrum.txt, was 10 spectrum from closest

msd: manmade.roofingmaterial.roofingpaper.solid.all.0522uuutar.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.metal.solid.all.0384uuualm.jhu.becknic.spectrum.txt w/ score: 1.287
Actual closest compound, manmade.roofingmaterial.roofingpaper.solid.all.0523uuutar.jhu.becknic.spectrum.txt, was 1 spectrum from closest

msd: manmade.roofingmaterial.roofingpaper.solid.all.0523uuutar.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.metal.solid.all.0384uuualm.jhu.becknic.spectrum.txt w/ score: 1.204
Actual closest compound, manmade.roofingmaterial.roofingpaper.solid.all.0522uuutar.jhu.becknic.spectrum.txt, was 1 spectrum from closest

msd: manmade.roofingmaterial.rubber.solid.all.0795uuurbr.jhu.becknic.spectrum.txt is closest to: manmade.generalconstructionmaterial.wood.solid.all.0410uuuwod.jhu.becknic.spectrum.txt w/ score: 1.166
Actual closest compound, manmade.roofingmaterial.rubber.solid.all.0833uuurbr.jhu.becknic.spectrum.txt, was 10 spectrum from closest

msd: manmade.roofingmaterial.rubber.solid.all.0833uuurbr.jhu.becknic.spectrum.txt is closest to: manmade.road.tar.solid.all.0099uuutar.jhu.becknic.spectrum.txt w/ score: 1.339
Actual closest compound, manmade.roofingmaterial.rubber.solid.all.0795uuurbr.jhu.becknic.spectrum.txt, was 12 spectrum from closest

msd: manmade.roofingmaterial.shingle.solid.all.0597uuuasp.jhu.becknic.spectrum.txt is closest to: manmade.concrete.pavingconcrete.solid.all.0092uuu_cnc.jhu.becknic.spectrum.txt w/ score: 1.055
Actual closest compound, manmade.roofingmaterial.shingle.solid.all.0672uuuasp.jhu.becknic.spectrum.txt, was 5 spectrum from closest

msd: manmade.roofingmaterial.shingle.solid.all.0672uuuasp.jhu.becknic.spectrum.txt is closest to: manmade.roofingmaterial.roofingpaper.solid.all.0522uuutar.jhu.becknic.spectrum.txt w/ score: 1.043
Actual closest compound, manmade.roofingmaterial.shingle.solid.all.0597uuuasp.jhu.becknic.spectrum.txt, was 5 spectrum from closest

msd: meteorites.achondrite.diogenite.fine.tir.alha77256.jhu.becknic.spectrum.txt is closest to: meteorites.achondrite.howardite.fine.tir.bialystok.jhu.becknic.spectrum.txt w/ score: 2.053
Actual closest compound, meteorites.achondrite.diogenite.fine.tir.johnstown.jhu.becknic.spectrum.txt, was 2 spectrum from closest

msd: meteorites.achondrite.eucrite.fine.tir.haraiya.jhu.becknic.spectrum.txt is closest to: meteorites.achondrite.howardite.fine.tir.bialystok.jhu.becknic.spectrum.txt w/ score: 2.190
Actual closest compound, meteorites.achondrite.eucrite.fine.tir.yamato791192.jhu.becknic.spectrum.txt, was 27 spectrum from closest

msd: meteorites.achondrite.eucrite.fine.tir.yamato791192.jhu.becknic.spectrum.txt is closest to: soil.lunar.maria.fine.tir.12023_139.jhu.becknic.spectrum.txt w/ score: 1.077
Actual closest compound, meteorites.achondrite.eucrite.fine.tir.haraiya.jhu.becknic.spectrum.txt, was 8 spectrum from closest

msd: meteorites.achondrite.howardite.fine.tir.bholghati.jhu.becknic.spectrum.txt is closest to: meteorites.achondrite.eucrite.fine.tir.haraiya.jhu.becknic.spectrum.txt w/ score: 1.871
Actual closest compound, meteorites.achondrite.howardite.fine.tir.bialystok.jhu.becknic.spectrum.txt, was 5 spectrum from closest

msd: meteorites.achondrite.howardite.fine.tir.bialystok.jhu.becknic.spectrum.txt is closest to: meteorites.achondrite.eucrite.fine.tir.haraiya.jhu.becknic.spectrum.txt w/ score: 2.190
Actual closest compound, meteorites.achondrite.howardite.fine.tir.bholghati.jhu.becknic.spectrum.txt, was 5 spectrum from closest

msd: meteorites.achondrite.shergottite.fine.tir.alha77005.jhu.becknic.spectrum.txt is closest to: meteorites.ordinarychondrite.ll6.fine.tir.olivenza.jhu.becknic.spectrum.txt w/ score: 2.593
Actual closest compound, meteorites.achondrite.shergottite.fine.tir.eeta79001.jhu.becknic.spectrum.txt, was 24 spectrum from closest

msd: meteorites.achondrite.shergottite.fine.tir.eeta79001.jhu.becknic.spectrum.txt is closest to: meteorites.achondrite.diogenite.fine.tir.johnstown.jhu.becknic.spectrum.txt w/ score: 1.203
Actual closest compound, meteorites.achondrite.shergottite.fine.tir.alha77005.jhu.becknic.spectrum.txt, was 8 spectrum from closest

msd: meteorites.achondrite.urelite.fine.tir.pca82506.jhu.becknic.spectrum.txt is closest to: meteorites.carbonaceouschondrite.co.fine.tir.lance1.jhu.becknic.spectrum.txt w/ score: 2.208
